,index,Crew,Battalion,Vehicle,GTVI Score,GT VI Eng,Q1,members,dr_Position,dr_VACANT,dr_master_gunner,dr_maintanance_operations,dr_avg_age,dr_apft_pass,dr_apft_score_total,dr_apft_score_su,dr_apft_score_pu,dr_apft_score_run,dr_body_comp_pass,dr_ethnic_group,dr_height,dr_skill_level,dr_O_E,dr_M4,dr_M99,dr_M17,dr_time_in_service_months,dr_weight,gn_Position,gn_VACANT,gn_master_gunner,gn_maintanance_operations,gn_avg_age,gn_apft_pass,gn_apft_score_total,gn_apft_score_su,gn_apft_score_pu,gn_apft_score_run,gn_body_comp_pass,gn_ethnic_group,gn_height,gn_skill_level,gn_O_E,gn_M4,gn_M99,gn_M17,gn_time_in_service_months,gn_weight,tc_Position,tc_VACANT,tc_master_gunner,tc_maintanance_operations,tc_avg_age,tc_apft_pass,tc_apft_score_total,tc_apft_score_su,tc_apft_score_pu,tc_apft_score_run,tc_body_comp_pass,tc_ethnic_group,tc_height,tc_skill_level,tc_O_E,tc_M4,tc_M99,tc_M17,tc_time_in_service_months,tc_weight
0,1,A11,10 BEB,Bradley,771,7.0,1.0,3,Driver,0,0,0,22.5,1.0,199.0,65.0,68.0,66.0,1.0,NONE,73.5,1.0,E,SHARPSHOOTER,MARKSMAN,,37.0,223.0,Gunner,0.0,0.0,0.0,22.5,,,,,,1.0,NONE,69.0,1.0,E,MARKSMAN,,,35.0,198.0,Commander,0.0,0.0,0.0,22.5,1.0,300.0,100.0,100.0,100.0,1.0,NONE,72.0,2.0,E,MARKSMAN,,EXPERT,58.0,160.0
1,2,A11,2-7 IN,Bradley,832,7.0,1.0,3,Driver,0,0,0,22.5,0.0,211.0,77.0,78.0,56.0,1.0,NONE,73.0,1.0,E,EXPERT,,,33.0,237.0,Gunner,0.0,0.0,0.0,27.5,1.0,238.0,76.0,100.0,62.0,1.0,NONE,70.0,1.0,E,EXPERT,,,56.0,225.0,Commander,0.0,0.0,0.0,27.5,1.0,300.0,100.0,100.0,100.0,1.0,OTHER,66.0,4.0,O,MARKSMAN,SHARPSHOOTER,,61.0,175.0
2,4,A11,5-7 CAV,Bradley,722,7.0,1.0,3,Driver,0,0,0,,,,,,,,,,,M,,,,,,Gunner,0.0,0.0,0.0,,,,,,,,,,,M,,,,,,Commander,0.0,0.0,0.0,,,,,,,,,,,M,,,,,
3,6,A12,10 BEB,Bradley,807,7.0,0.0,3,Driver,0,0,0,27.5,1.0,265.0,95.0,79.0,91.0,1.0,NONE,67.0,1.0,E,MARKSMAN,,,53.0,180.0,Gunner,0.0,0.0,0.0,22.5,0.0,189.0,81.0,54.0,54.0,0.0,NONE,69.5,1.0,E,MARKSMAN,,,35.0,224.0,Commander,0.0,0.0,0.0,22.5,1.0,251.0,73.0,99.0,79.0,1.0,MEXICAN,68.0,2.0,E,EXPERT,SHARPSHOOTER,,76.0,152.0
4,7,A12,2-7 IN,Bradley,772,7.0,0.0,3,Driver,0,0,0,22.5,,,,,,1.0,NONE,72.0,1.0,E,SHARPSHOOTER,,,29.0,209.0,Gunner,0.0,0.0,0.0,22.5,1.0,238.0,68.0,82.0,88.0,1.0,NONE,67.0,2.0,E,MARKSMAN,,,71.0,148.0,Commander,0.0,1.0,0.0,32.5,1.0,221.0,80.0,66.0,75.0,1.0,OTHER,65.0,3.0,E,SHARPSHOOTER,,,177.0,163.0
5,9,A12,5-7 CAV,Bradley,783,7.0,1.0,3,Driver,0,0,0,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,Commander,0.0,0.0,0.0,,,,,,,,,,,M,,,,,
6,11,A13,10 BEB,Bradley,773,7.0,0.0,3,Driver,0,0,0,22.5,,,,,,1.0,NONE,77.0,1.0,E,MARKSMAN,,,8.0,180.0,Gunner,0.0,0.0,0.0,22.5,,,,,,1.0,NONE,66.0,1.0,E,MARKSMAN,,,9.0,140.0,Commander,0.0,0.0,0.0,27.5,1.0,272.0,92.0,98.0,82.0,1.0,OTHER,71.0,3.0,E,MARKSMAN,,,103.0,225.0
7,12,A13,2-7 IN,Bradley,824,7.0,0.0,3,Driver,0,0,0,22.5,,,,,,1.0,NONE,66.0,1.0,E,MARKSMAN,,,27.0,148.0,Gunner,0.0,0.0,0.0,27.5,1.0,200.0,60.0,70.0,70.0,1.0,NONE,72.0,1.0,E,EXPERT,,,30.0,212.0,Commander,0.0,0.0,0.0,27.5,1.0,270.0,87.0,97.0,86.0,1.0,OTHER,75.0,3.0,E,SHARPSHOOTER,SHARPSHOOTER,,93.0,248.0
8,14,A13,5-7 CAV,Bradley,700,7.0,0.0,3,Driver,0,0,0,,,,,,,,,,,M,,,,,,Gunner,0.0,0.0,0.0,,,,,,,,,,,M,,,,,,Commander,0.0,0.0,0.0,,,,,,,,,,,M,,,,,
9,15,A14,2-7 IN,Bradley,784,7.0,1.0,3,Driver,0,0,0,22.5,1.0,233.0,70.0,93.0,70.0,1.0,NONE,74.0,1.0,E,MARKSMAN,,,38.0,211.0,Gunner,0.0,0.0,0.0,22.5,0.0,125.0,40.0,39.0,46.0,1.0,NONE,63.0,1.0,E,SHARPSHOOTER,,,28.0,137.0,Commander,0.0,0.0,0.0,37.5,1.0,256.0,91.0,79.0,86.0,1.0,OTHER,71.0,4.0,E,SHARPSHOOTER,,,195.0,200.0
